max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,Year_of_Release,artist,category,designer,expansion,publisher,average_rating,users_rated,principal_category,secondary_category,other_category,WeightedAverage
5,240,14,3,240,Die Macher,240,1986,Marcus Gschwendtner,"Economic,Negotiation,Political",Karl-Heinz Schmiel,no,"Hans im Glück Verlags-GmbH,Moskito Spiele,Valley Games, Inc.",7.66508,4498,Economic,Negotiation,Political,7.535958288660068
4,30,12,3,30,Dragonmaster,30,1981,Bob Pepper,"Card Game,Fantasy","G. W. ""Jerry"" D'Arcey",no,"E.S. Lowe,Milton Bradley",6.60815,478,Card Game,Fantasy,,6.488635364747468
4,60,10,2,30,Samurai,60,1998,Franz Vohwinkel,"Abstract Strategy,Medieval",Reiner Knizia,no,"999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Fantasy Flight Games,Galakta,Hans im Glück Verlags-GmbH,Hobby Japan,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Wargames Club Publishing",7.44119,12019,Abstract Strategy,Medieval,,7.3985823385831955
4,60,12,2,60,Tal der Könige,60,1992,unknown,Ancient,Christian Beierer,no,KOSMOS,6.60675,314,Ancient,,,6.4640161999054335
6,90,12,3,90,Acquire,90,1964,"Scott Okumura,Peter Whitley",Economic,Sid Sackson,no,"3M,Avalon Hill,Avalon Hill (Hasbro),Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",7.3583,15195,Economic,,,7.32695496570392
6,240,12,2,240,Mare Mediterraneum,240,1989,Jean du Poël,"Civilization,Nautical",Jean du Poël,no,Historien Spiele Galerie (Historien Spielegalerie),6.52534,73,Civilization,Nautical,,6.393611704577702
2,20,8,2,20,Cathedral,20,1978,S. Mattusek,Abstract Strategy,Robert P. Moore,no,"Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",6.50534,2751,Abstract Strategy,,,6.485198408712097
5,120,12,2,120,Lords of Creation,120,1993,Bryan King,"Civilization,Fantasy",Martin Wallace,no,"Vendetta,Warfrog Games",6.14538,186,Civilization,Fantasy,,6.312289164319276
4,90,13,2,90,El Caballero,90,1998,Doris Matthäus,Exploration,"Wolfgang Kramer,Richard Ulrich",no,"999 Games,Hans im Glück Verlags-GmbH,Rio Grande Games",6.51776,1263,Exploration,,,6.477096180784472
6,60,10,2,60,Elfenland,60,1998,Doris Matthäus,"Fantasy,Travel",Alan R. Moon,yes,"999 Games,AMIGO Spiel + Freizeit GmbH,Corfix,Hobby World,Midgaard Games,Rio Grande Games",6.74996,6729,Fantasy,Travel,,6.723982643065849
7,45,13,2,45,Bohnanza,45,1997,"Fréderic Bertrand,Marek Bláha,Andrea Boekhoff,Klemens Franz,Oliver Freudenreich,Inge George,Guido Hoffmann,Alexander Jung,Harald Lieske,Atelier Löwentor,Doris Matthäus,Björn Pertoft,Uwe Rosenberg,Johann Rüttinger,Barbara Stachuletz,Franz Vohwinkel,Markus Wagner","Card Game,Farming,Negotiation",Uwe Rosenberg,yes,"AMIGO Spiel + Freizeit GmbH,999 Games,Brain Games,Copag - Cia. Paulista de Artes Gráficas,Corfix,G3,Gigamic,Kaissa Chess & Games,Kikigagne?,Korea Boardgames co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games",7.06751,28354,Card Game,Farming,Negotiation,7.055499002797638
5,60,12,2,45,Ra,60,1999,"Allison Kline,Franz Vohwinkel","Ancient,Mythology",Reiner Knizia,no,"alea,Ravensburger Spieleverlag GmbH,999 Games,ABACUSSPIELE,Edge Entertainment,Korea Boardgames co., Ltd.,New Games Order, LLC,Rio Grande Games,Swan Panasia Co., Ltd.,Überplay,Windrider Games",7.47505,15378,Ancient,Mythology,,7.440389758579357
4,120,10,3,60,Catan,120,1995,"Volkan Baga,Tanja Donner,Pete Fenlon,Jason Hawkins,Michaela Kienle,Harald Lieske,Michael Menzel,Marion Pott,Matt Schwabel,Franz Vohwinkel,Stephen Graham Walsh",Negotiation,Klaus Teuber,yes,"KOSMOS,999 Games,Albi,Astrel Games,Bergsala Enigma,Brain Games,Capcom Co., Ltd.,Catan Studio,Competo / Marektoy,danspil,Descartes Editeur,Devir,Dexy Co,Eurogames,Filosofia Éditions,Galakta,Giochi Uniti,GP Games,Grow Jogos e Brinquedos,HaKubia,Hanayama,Hobby World,Ideal Board Games,IntelliGames.BG,Ísöld ehf.,Kaissa Chess & Games,Korea Boardgames co., Ltd.,L&M Games,Laser plus,Lautapelit.fi,Logojogos,Mayfair Games,Ninive Games,Piatnik,Smart Ltd,Stupor Mundi,Swan Panasia Co., Ltd.,Tilsit,Top Toys,TRY SOFT",7.26569,67655,Negotiation,,,7.259151150124319
4,25,10,3,25,Basari,25,1998,"John Kovalic,Lüders & Baran,Stefan Theurer",Negotiation,Reinhard Staupe,no,"F.X. Schmid,New Games Order, LLC,Out of the Box Publishing",6.78156,1476,Negotiation,,,6.678528464940801
6,90,12,2,90,Cosmic Encounter,90,1977,"John Blanche,Chris Ferguson,Anders Jeppsson,Dean Morrissey,Paul Render,Lori Walls","Bluffing,Negotiation,Science Fiction","Bill Eberle,Jack Kittredge,Bill Norton,Peter Olotka",yes,"Alga,ASS Altenburger Spielkarten,Descartes Editeur,Eon,Games Workshop Ltd.,Grow Jogos e Brinquedos,Tsukuda Hobby / Original,West End Games",6.9347,3629,Bluffing,Negotiation,Science Fiction,6.866848144035608
4,60,12,3,60,MarraCash,60,1996,"Marion Pott,Oliver Vogel",Economic,Stefan Dorra,no,KOSMOS,6.84341,877,Economic,,,6.673101130517809
2,5,10,2,5,Button Men,5,1999,"Pete Abrams,Gerald Brom,Larry Elmore,Phil Foglio,Ryan Kinnaird,John Kovalic,John Nephew,Michelle Nephew,Brian Snoddy,Cheyenne Wright,Andrew Yates","Collectible Components,Dice,Fighting,Print & Play",James Ernest,no,"(Unknown),Atlas Games,Cheapass Games,Five Rings Publishing Group,Guardians of Order,Looney Labs,Studio Foglio,Truant Spiele",6.3087,724,Collectible Components,Dice,"Fighting,Print & Play",6.335529809414235
8,120,12,2,45,RoboRally,120,1994,"Peter Bergting,Bob Carasca,Phil Foglio,Daniel Gelon,Jennifer Lathrop,Paul Sottosanti,Franz Vohwinkel,Peter Whitley","Miniatures,Racing,Science Fiction",Richard Garfield,yes,"999 Games,AMIGO Spiel + Freizeit GmbH,Avalon Hill (Hasbro),Hasbro,Play Factory,Wizards of the Coast",7.15355,19371,Miniatures,Racing,Science Fiction,7.133944277425545
4,45,9,2,30,Wacky Wacky West,45,1991,"Chris McGloughlin,Franz Vohwinkel","American West,Bluffing,City Building",Klaus Teuber,no,"Hans im Glück Verlags-GmbH,Mayfair Games",6.31166,1459,American West,Bluffing,City Building,6.32766800751558
4,90,12,2,90,Full Metal Planète,90,1988,Pascal Trigaux,Science Fiction,"Gérard Delfanti,Gérard Mathieu,Pascal Trigaux",yes,Ludodélire,7.43592,602,Science Fiction,,,6.954277247480058
16,240,12,1,240,Magic Realm,240,1979,"George Goebel,Kim Grommel,Richard Hamblen,Randall C. Reed,Chris White (I)","Adventure,Exploration,Fantasy",Richard Hamblen,no,"(Self-Published),Avalon Hill",7.14384,1709,Adventure,Exploration,Fantasy,6.969675077737902
6,360,12,2,360,Divine Right,360,1979,"Kenneth Rahman,David C. Sutherland, III,David A. Trampier","Fantasy,Political,Wargame","Glenn Rahman,Kenneth Rahman",no,"Right Stuf,TSR",6.95654,483,Fantasy,Political,Wargame,6.66042574437744
6,240,12,2,240,Twilight Imperium,240,1997,Bill Heagy,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame",Christian T. Petersen,yes,Fantasy Flight Games,6.66812,667,Civilization,Negotiation,"Political,Science Fiction,Space Exploration,Wargame",6.542267118014587
6,200,12,2,200,Battlemist,200,1998,"Bill Heagy,Christian T. Petersen","Exploration,Fantasy,Wargame",Christian T. Petersen,yes,Fantasy Flight Games,5.93231,308,Exploration,Fantasy,Wargame,6.205867780597801
6,360,12,3,360,Age of Renaissance,360,1996,"Stephen Langmead,Kurt Miller","Civilization,Economic,Medieval,Renaissance","Don Greenwood,Jared Scarborough",no,"Avalon Hill,Descartes Editeur",7.0993,1944,Civilization,Economic,"Medieval,Renaissance",6.95099381617145
6,340,12,2,340,Supremacy,340,1984,unknown,"Economic,Political,Wargame",Robert J. Simpson,yes,"Descartes Editeur,Grow Jogos e Brinquedos,Supremacy Games",5.57724,1201,Economic,Political,Wargame,5.811554924587315
8,180,12,2,60,Illuminati:  Deluxe Edition,180,1987,"Jeffrey D. George,John Grigni,C. Mara Lee,Carl Manz,Dave Martin,Shea Ryan,Dan Smith,Czeslaw Sornat,Cliff Van Meter","Card Game,Humor,Negotiation,Political",Steve Jackson (I),yes,"Descartes Editeur,Devir,Edge Entertainment,Finnish Game House,Laurin Verlag,Pegasus Spiele,Queen Games,Raven Distribution,Steve Jackson Games,Ubik",6.5289,4274,Card Game,Humor,"Negotiation,Political",6.512716440453084
4,120,10,2,120,Terrain Vague,120,1993,Jacques Tardi,"Fighting,Humor","Franck Parcabe,Roland Scaron",no,Ludodélire,6.66639,61,Fighting,Humor,,6.406130974550844
4,90,10,1,90,Dark Tower,90,1981,Bob Pepper,"Adventure,Electronic,Exploration,Fantasy,Fighting","Roger Burten,Alan Coleman,Vincent A. A. J. Erato",no,Milton Bradley,6.6435,1052,Adventure,Electronic,"Exploration,Fantasy,Fighting",6.556798767218443
5,90,10,2,90,Dark World,90,1992,Chris Baker,"Adventure,Exploration,Fantasy,Fighting,Miniatures",Eamon Bloomfield,yes,"AS Company,Canada Games,Crown & Andrews Ltd.,Diset S. A.,Kod Kod,Mattel,Schmidt France,Schmidt Spiele,Selecta Spel en Hobby,Waddington's Games, Inc.",5.18525,590,Adventure,Exploration,"Fantasy,Fighting,Miniatures",5.730722189654149
2,30,8,2,30,Bison,30,1975,Lisa Plangger,"Abstract Strategy,American West",Alex Randolph,no,"Action GT,BHS Games,Lakeside,Pelikan,Piatnik,Schmidt Spiele,Venice Connection,Winning Moves France",6.04137,182,Abstract Strategy,American West,,6.285511769388598
8,180,12,1,180,Arkham Horror,180,1987,Tom Sullivan,"Adventure,Horror,Novel-based","Charlie Krank,Richard Launius,Sandy Petersen,Lynn Willis",no,"Chaosium,Descartes Editeur,Hobby Japan",6.56386,453,Adventure,Horror,Novel-based,6.464447289321116
8,300,12,2,300,Federation & Empire,300,1986,"William H. Keith, Jr.,David Martin (II)","Science Fiction,Wargame",Stephen V. Cole,yes,"Amarillo Design Bureau, Inc.,Task Force Games",6.23239,355,Science Fiction,Wargame,,6.3154247213134775
4,120,12,2,120,Dragon Masters,120,1991,Christos Achilleos,"Fantasy,Wargame",Ian Livingstone,yes,Games Workshop Ltd.,5.69731,130,Fantasy,Wargame,,6.234666645592101
4,30,10,2,30,Runes,30,1981,"Linda Bound,Franz-Josef Schulte","Deduction,Word Game","Bill Eberle,Jack Kittredge,Peter Olotka",no,"Eon,franjos Spieleverlag",6.06707,82,Deduction,Word Game,,6.331081489214817
4,60,12,2,60,Darkover,60,1979,Hannah M. G. Shapero,"Bluffing,Fantasy,Novel-based","Bill Eberle,Jack Kittredge,Peter Olotka",no,Eon,5.22865,96,Bluffing,Fantasy,Novel-based,6.189832360273529
